time_cali_s,Ecell_V,I_mA,QDischarge_cali_mA_h,SOC
0.0,3.461482,-15605.775,0.0,0.9733164465614758
10.000001040287316,3.4259217,-15769.24,43.6275220675998,0.9490254386507488
20.00000207964331,3.4246221,-15774.361,87.4632394536678,0.9246185113870948
30.000003130175173,3.437027,-15718.822,131.2105384261068,0.9002608138821603
40.00000416953117,3.4514794,-15650.876,174.7799585177948,0.8760021560910278
50.00000520981848,3.4633329,-15601.246,218.1815836626518,0.851836923463363
60.00000626035035,3.4719965,-15559.493,261.4547911322698,0.8277431914531359
64.96200677007437,3.4751074,-15545.904,282.8917121690538,0.8158075051292759
64.9640067704022,3.5388248,-9733.4395,282.8971196354168,0.8158044943507129
74.96400782000273,3.7941661,-4223.0898,294.7312808382158,0.8092154494136984
84.96400886029005,3.8192906,-4195.5176,306.4200426467558,0.8027073602052877
94.96400989964604,3.8313015,-4182.3218,318.0549896953668,0.7962292340728709
104.96401093993336,3.837563,-4176.2168,329.6630846761068,0.7897660586816875
114.9640119895339,3.8405166,-4173.8535,341.2576784939238,0.7833104004915694
124.96401302982122,3.8414223,-4171.0962,352.8471727604168,0.7768575816385412
134.96401407010853,3.8409102,-4171.8843,364.4361266045468,0.7704050636828201
144.96401511970907,3.8394139,-4173.0659,376.0277896828888,0.763951037274944
154.9640161599964,3.8372085,-4176.02,387.6248714233398,0.7574939938549179
164.9640172002837,3.8347275,-4179.1709,399.2295234581168,0.751032735433199
174.96401824988425,3.8316166,-4182.9131,410.8426487478298,0.7445667592578026
184.96401929017156,3.8283479,-4185.8672,422.4653637136498,0.7380954437257997
194.96402032952756,3.8249614,-4189.6094,434.0983310004338,0.7316184198886299
204.96402138005942,3.8214564,-4194.1392,445.7418833273658,0.7251355024943247
214.96402242034674,3.8175972,-4197.8809,457.3964998754878,0.7186464247436275
224.96402345970273,3.8138168,-4202.4106,469.0627608525928,0.7121508635874296
234.96402449999005,3.8100755,-4206.1528,480.74063263888877,0.7056488377446181
244.9640255495906,3.8061769,-4210.2886,492.42991102701785,0.6991404609141216
254.9640265898779,3.8023572,-4214.2275,504.13101052056174,0.6926255023079128
264.9640276301652,3.7985766,-4218.7573,515.8441709689668,0.6861038283821977
274.96402867976576,3.7945993,-4222.6958,527.5694024229598,0.6795754335409155
284.9640297200531,3.7907004,-4227.2256,539.3064964328338,0.6730404338450576
294.9640307603404,3.7868807,-4231.165,551.0555682394748,0.6664987651306026
304.96403180994093,3.7829425,-4237.4673,562.8164801611327,0.6599505040562353
314.96403285022825,3.7790439,-4242.1934,574.5894727061628,0.6533955167112944
324.96403388958424,3.7753029,-4244.9507,586.3746990147567,0.6468337178301159
334.9640349401161,3.7714043,-4248.4956,598.1719319742838,0.6402652338648672
344.9640359804034,3.7674663,-4254.2075,609.9810906057398,0.6336901099031796
354.9640370197594,3.7636464,-4257.1616,621.8022053944228,0.6271083289713958
364.96403806004673,3.7598658,-4262.0854,633.6353068259008,0.6205198740957076
374.9640391096473,3.7560461,-4265.6304,645.4804873773868,0.6139246937864913
384.9640401499346,3.7523441,-4269.1753,657.3376340662978,0.6073228509503866
394.9640411902219,3.7485244,-4275.4775,669.2066383157008,0.6007144060410478
404.96404223982245,3.7447045,-4279.8101,681.0875703824868,0.5940993199407203
414.96404328010976,3.7409239,-4284.7339,692.9804958189558,0.5874775561510803
424.9640443203971,3.7370646,-4286.7036,704.8854789366318,0.5808490788646449
434.9640453699976,3.7334023,-4291.0361,716.8027440955948,0.5742137631618174
444.96404641028494,3.729425,-4295.7627,728.7322451497398,0.5675716347359064
454.96404744964093,3.7255657,-4300.4897,740.6740655069988,0.5609226471468981
464.9640485001728,3.7217064,-4305.8071,752.6284387646488,0.5542666703320926
474.9640495395288,3.7177684,-4310.731,764.5954744856768,0.5476036432888187
484.9640505798161,3.7137909,-4314.0791,776.5752958884008,0.5409334974113663
494.9640516201034,3.7098136,-4318.4116,788.5680591243488,0.534256145757415
504.96405266970396,3.705718,-4325.502,800.5738208751088,0.5275715567676911
514.9640537099913,3.7017407,-4330.6226,812.5927221682398,0.5208796519206241
524.9640547502786,3.6976452,-4333.1826,824.6248738774958,0.5141803694837317
534.9640557998791,3.6934314,-4339.0913,836.6704498871528,0.5074736126414232
544.9640568401664,3.6892571,-4344.8027,848.7296702699108,0.5007592588612364
554.9640578804538,3.6849647,-4348.5444,860.8025601171878,0.4940372941727276
564.9640589300543,3.6805935,-4353.0742,872.8893793901908,0.4873075738342423
574.9640599703416,3.676301,-4358.3916,884.9903976784938,0.4805699477432267
584.9640610096976,3.6718905,-4364.3003,897.1057197512478,0.47382435756612995
594.9640620602295,3.6675193,-4370.0117,909.2357376529948,0.4670705850197075
604.9640630995855,3.6629906,-4375.1323,921.3805023833548,0.4603086017083018
614.9640641398728,3.6583042,-4380.2529,933.5404424883358,0.45353816902531835
624.9640651801601,3.6536181,-4386.3579,945.7154058075628,0.4467593716908764
634.9640662297606,3.6490893,-4392.2661,957.9058974650078,0.43997192846116884
644.964067270048,3.6443243,-4396.4023,970.1120695879478,0.43317575463450475
654.9640683103353,3.6396775,-4403.4922,982.3340493242678,0.4263707794172628
664.9640693599358,3.6347942,-4409.2041,994.5721649153678,0.4195568200506231
674.9640704002231,3.6299899,-4414.5215,1006.8266492157678,0.41273374688543946
684.9640714395791,3.6248312,-4421.0205,1019.0976484407578,0.4059014785117075
694.964072490111,3.6198692,-4425.1563,1031.385507194008,0.399059823060394
704.9640735303983,3.6149073,-4432.6406,1043.6900989138476,0.3922088509987269
