time_cali_s,Ecell_V,I_mA,QDischarge_cali_mA_h,SOC
0.0,3.8328373,-14101.306,0.0,1.0
10.000001043023076,3.8023572,-14214.55,39.34264701117619,0.976325679599271
20.000002085987944,3.784754,-14279.542,78.92305059678779,0.9525082898895815
30.00000312901102,3.7717586,-14328.385,118.6591732769098,0.9285971966795936
40.00000417197589,3.7603383,-14372.303,158.52254137152778,0.9046095339212619
50.000005214998964,3.749115,-14414.845,198.50509104492178,0.88055015400366
60.00000625802204,3.7378523,-14458.96,238.60755504340278,0.8564186159988826
64.95400677499129,3.7320633,-14481.608,258.5198177815758,0.8444364713345164
64.95600677496986,3.7901492,-8872.7861,258.5247471072048,0.8444335051275332
74.95600781898247,3.9327843,-4079.7131,269.9118727113178,0.837581336285957
84.95600886101602,3.9464099,-4066.1238,281.2225794970708,0.8307751522402177
94.95600990497041,3.9521987,-4059.2307,292.5070390039068,0.8239847624162184
104.95601094799349,3.954601,-4057.0645,303.7801809509278,0.8172011829000547
114.95601199101657,3.9552705,-4057.0645,315.0490237251788,0.8104201903982723
124.95601303398144,3.9549947,-4057.0645,326.3180012910968,0.8036391167860066
134.9560140770045,3.9539709,-4059.6248,337.5883780316838,0.7968572012245604
144.95601511996938,3.9525139,-4058.0491,348.8624814988878,0.7900730431164967
154.95601616299246,3.9507418,-4062.3818,360.14138163397877,0.7832859986278503
164.95601720601553,3.9487727,-4061.988,371.42542298285576,0.7764958604291545
174.9560182489804,3.9466069,-4067.1086,382.7155562792968,0.7697020564191966
184.95601929200348,3.9442835,-4066.3208,394.01202791571677,0.7629044383320766
194.95602033496834,3.9418025,-4070.6536,405.31538715331976,0.7561026756515041
204.95602137898095,3.9392822,-4073.6077,416.6255245053438,0.7492968342608116
214.95602242200403,3.9366043,-4075.5771,427.94329888549777,0.7424863973112383
224.9560234649689,3.9339657,-4079.1223,439.2689117095268,0.7356712436014613
234.95602450799197,3.9310122,-4080.501,450.60251600911477,0.7288512810451212
244.95602555101505,3.9280982,-4084.6367,461.9444835639108,0.7220262859249241
254.9560265939799,3.9249477,-4087.197,473.2951766529678,0.7151960402405314
264.956027637003,3.9217579,-4091.136,484.65484075507277,0.7083603962758155
274.95602867996786,3.9182925,-4094.8779,496.0240551089138,0.7015190054756251
284.95602972299093,3.9149451,-4097.6353,507.40297879747175,0.6946717721122511
294.956030766014,3.9111645,-4101.9683,518.7924254930288,0.6878182065608269
304.9560318089789,3.9074235,-4105.7104,530.1926297608778,0.6809581676723874
314.95603285200195,3.9036429,-4110.437,541.6040761736388,0.6740913638568051
324.9560338949668,3.8995473,-4113.5879,553.0270785455998,0.6672176062772688
