time_cali_s,Ecell_V,I_mA,QDischarge_cali_mA_h,SOC
0.0,3.4296308,-15752.903,0.0,1.0
10.000001199543476,3.3891861,-15938.689,44.077331531575496,0.9754585463905505
20.000002389773726,3.3864293,-15953.663,88.4096442176648,0.950775123928692
30.000003580003977,3.4000158,-15894.755,132.6513818207468,0.9261421320196951
40.000004769302905,3.4156897,-15819.889,176.6921622797308,0.9016210293802615
50.0000059697777,3.4274254,-15764.329,220.5534312266708,0.8771998754739319
60.000007160007954,3.4348686,-15729.853,264.2930481331378,0.8528464552031022
64.94600774999708,3.4369164,-15720.986,285.8988731955298,0.8408167262009567
64.94800774939358,3.5166638,-9863.0859,285.9043526877168,0.8408136753197296
74.94800893962383,3.7932787,-4225.6494,297.7561020502388,0.8342148376164356
84.94801012985408,3.8196642,-4199.8403,309.4550187315538,0.8277010943602305
94.94801132008433,3.8324633,-4185.6548,321.0974236596678,0.8212188158166428
104.94801251962781,3.8386068,-4178.7598,332.7119249074978,0.8147520735328835
114.94801370985806,3.8412061,-4174.8188,344.3133885937498,0.8082925903254234
124.94801490008831,3.841718,-4172.8491,355.9115709697808,0.8018349340915972
134.94801608938724,3.8406153,-4177.3804,367.5100115196398,0.7953771341112964
144.94801728986204,3.8386855,-4178.1685,379.1131292746308,0.7889167299485557
154.9480184800923,3.8359683,-4180.7295,390.7230871994358,0.7824525173041231
164.94801966939121,3.8329754,-4185.2607,402.3420401312928,0.7759832964039586
174.94802085962147,3.8294704,-4189.3984,413.9707328301328,0.7695086525793275
184.94802204985172,3.8257291,-4190.7778,425.6103081187608,0.7630279495273534
194.9480232493952,3.8220665,-4197.082,437.2611840977648,0.7565409544572607
204.94802443962544,3.8180497,-4201.6133,448.9238570713978,0.7500473910359006
214.9480256298557,3.8138752,-4204.7656,460.5988392005748,0.743546974101425
224.94802682008594,3.8098583,-4208.7061,472.28614833685975,0.7370396937144088
234.94802800938487,3.8059201,-4214.8135,483.98605212944875,0.7305254008526653
244.94802920985967,3.8017063,-4217.5718,495.6985531385638,0.7240040940907095
254.94803040008992,3.7975321,-4223.8765,507.4240590060768,0.7174755464609884
264.94803158938885,3.7933969,-4229.5898,519.1623291140409,0.7109398919351826
274.9480327796191,3.7893407,-4233.333,530.9134773757598,0.7043970670884436
284.94803396984935,3.7850876,-4236.8794,542.6773918693038,0.6978471342368593
294.9480351693928,3.7810311,-4241.8052,554.4540395849608,0.6912901117596346
304.9480363596231,3.7768173,-4247.124,566.2436207283529,0.6847258881859337
314.9480375498533,3.7727218,-4253.0352,578.0462106694879,0.678154421551112
324.9480387400836,3.7685473,-4255.5962,589.8613766197377,0.6715759528239778
334.94803993962705,3.7644911,-4260.3242,601.6893304342989,0.6649903640474244
344.9480411298573,3.7604346,-4265.4468,613.5299346397569,0.6583977317641398
354.94804232008755,3.7564967,-4268.5991,625.3832678900828,0.6517980121810287
364.9480435093865,3.7524402,-4273.1304,637.2493155433488,0.6451912134504493
374.94804469961673,3.7485416,-4279.4351,649.1278658306207,0.6385774534814782
384.94804590009153,3.7444851,-4283.1782,661.0189845507807,0.6319566956384992
394.94804708939046,3.7405472,-4289.0889,672.9224093823238,0.6253290859773378
404.9480482796207,3.736727,-4292.2412,684.8381522479929,0.6186946178596284
414.94804946985096,3.7329071,-4296.7725,696.7664785058598,0.6120531435388403
